Given SKU	Computed Handle	Title	Intro	Color	Material	Finish	W	D	H	Features
116-C2501S	liliana-side-chair	Splat Back Side Chair (RTA)	Transitional styling will work with any decor in your home.	Espresso Brown	Rubberwood Solids & Walnut Veneers	Light & Dark Espresso	19	22	40	•Upholstered in Chocolate PVC •Nylon Chair Glides •Consumer Friendly Assembly •Weight Limit: 300 Pounds •Seat Height: 19.1" •Seat Cusion: 18-1/2" W x 16-3/8" D x 2-3/8" H
116-C9001B	liliana-bench	Bench (RTA)	Transitional styling will work with any decor in your home.	Espresso Brown	Rubberwood Solids & Walnut Veneers	Light & Dark Espresso	48	16	20	•Upholstered in Chocolate PVC •Nylon Chair Glides •Consumer Friendly Assembly •Weight Limit: 250-300 Pounds
116-CD-RLS	liliana-rectangular-dining-table	Rectangular Table	Transitional styling will work with any decor in your home.	Espresso Brown	Rubberwood Solids & Walnut Veneers	Light & Dark Espresso	40	90	30	•Includes One 18 Inch Butterfly Leaf •Two Tone Finish •Testle Base •Nylon Floor Guides to Protect Floors from Scratches and Indentations
152-CD-TRS	lilith-trestle-dining-table	Trestle Table	The Double Bridge Dining defines the rustic side of casual. The sleek design is optimal for any space.	Dark Chestnut Brown	Rubberwood Solids and Acacia Veneers	Dark Chestnut	36	96	30	•Includes Two 12 Inch Leaves •Easy Glide Track System
198-C9001S-TN	lillia-side-chair	Nido Chair - Light Tan (RTA)	This collections allows for contemporary, trendy looks in today's casual finishes. The design conveys energy and imagination while silhouettes create a simplistic statement to any room.	Walnut Brown	Rubberwood Solids and Walnut Veneers	Satin Walnut	20	24	32	•Soft Contemporary Design •Tapered Block Feet in Kaffe Finish •Fully Upholstered Chairs •Upholstered in Linen •Cleaning Code is W-S •Scotchgard Fabric Protection •Seat Height: 19" •Weight Limit: 300 Pounds
244-B650124	magnolia-manor-counter-height-chair	Counter Height Chair (RTA)	Blending of European influences makes Magnolia Manor a truly unique style for any living space. Warm antique finishes and artistic distressing along with grand scale a group to be passed to generations.	White	Poplar Solids W/ White Oak & Birch Veneers	Antique White	19	24	44	•Upholstered in Ivory Tweed Chenille •Nylon Chair Glides •Tufted Panel •Seat W19 x D19 •24" Chair Seat Height •21" Chair Seat Back •Weight Limit: 250 Pounds
244-BR-KUB	magnolia-manor-bed	King Upholstered Bed	Accent your bedroom with the perfect blend of European Traditional design, using this unique upholstered panel bed. Upholstered in tufted chenille, laced with tones of white, tan and brown threading, this bed features an antiqued white finish with heavy chipping. The arched crowning and dog bone accents on each corner effortlessly add both definition and character, completing your look.	White	Poplar Solids w/ White Oak & Birch Veneers	Antique White	68	88	69	•Bolt On Rail System •Center Support Slat System •Upholstered in Tufted Chenille
244-BR31	magnolia-manor-dresser	7 Drawer Dresser	Accent your room with an effortless blend of European Traditional design with this 7-drawer dresser. Weathered brown whitewash top paired with the antique white finish creates a truly unique look. Storage abounds with 2 small drawers, 1 medium sized drawer, and 4 larger drawers, each equipped with bottom case dust proofing. Softness is added to the design with canted corners and rounded pilasters, accompanied by bead molding on each drawer front.	White	Poplar Solids w/ White Oak & Birch Veneers	Antique White	64	19	40	•Antique Brass Knob and Bail Hardware •Full Extension Metal Side Drawer Glides •Top Side Drawer W11.75 x D14 x H5.5 •Fully Stained Interior Drawers •Felt Lined Top Drawers •Top Middle Drawer W25 x D14 x H5.5 •Bottom Drawers W25.5 x D14 x H7
244-BR62	magnolia-manor-nightstand	1 Drawer Night Stand	Blending of European traditional design influences makes Magnolia Manor a truly unique style for any living space. Warm antique finishes and artistic distressing along with grand scale a group to be passed to generations.	White	Poplar Solids w/ White Oak & Birch Veneers	Antique White	22	17	28	•Antique Brass Knob and Bail Hardware •Full Extension Metal Side Drawer Glides •Fully Stained Interior Drawers •Canted Corners •Framed Drawer Fronts
244-BR64	magnolia-manor-chest	3 Drawer Bedside Chest w/ Charging Station	This 3-drawer bedside chest is the perfect way to accent your room with an effortless blend of European Traditional design. Weathered brown whitewash top paired with the antique white finish creates a truly unique look. Softness is added to the design with canted corners and rounded pilasters, accompanied by bead molding on each drawer front. The chest features a felt lined top drawer, cedar lined bottom drawer and bottom case dust proofing that is accented by custom antique pewter bail and knob hardware. With today's modern technology in mind, users can enjoy the benefit of the incorporated charging station, featuring two USB ports, making multi device charging a breeze.	White	Poplar Solids w/ White Oak & Birch Veneers	Antique White	36	18	34	•Full Extension Metal Side Drawer Glides •French & English Dovetail Construction •Bottom Case Dust Proofing •Felt Lined Top Drawer •Cedar Lined Bottom Drawer •Framed Drawer Fronts •Features Charging Station w/ 2 USB Ports •Antique Brass Knob and Bail Hardware
425-BR-QPB	essex-bed	Queen Panel Bed	Use this contemporary panel bed to invite clean lines and soft shapes into your room. The beautiful dark truffle finish is accented by brushed nickel throughout this piece. Crafted with rubberwood solids and cherry veneers, this bed features bolt on rails, a center support slat system, and a beautifully arched headboard.	Dark Truffle Brown	Rubberwood Solids w/ Cherry Veneers	Dark Truffle	66	88	62	•Bolt-On Rails •Center Supported Slat System •Arched Headboard Features Sunburst Veneer Pattern •Alternative Finish: 425G Satin Gray Finish
425-BR31	essex-dresser	7 Drawer Dresser	Invite clean lines and soft shapes into your room with this 7-drawer dresser. The dark truffle finish is highlighted by brushed nickel accents and hardware. Storage abounds with 4 large drawers, 2 small drawers, and 1 medium sized drawer that features a removable jewelry tray. Bask in the modern look of the Frieze drawer design which extends over the body of the dresser and is supported by rounded pilasters.	Dark Truffle Brown	Rubberwood Solids w/ Cherry Veneers	Dark Truffle	66	18	38	•Full Extension Metal Side Drawer Guides (45mm) •French & English Dovetail Construction •Bottom Case Dust Proofing •Premium Felt Lined Top Drawers •Cedar Lined Bottom Drawers •Removable Jewlery Tray In Center Top Drawer •Alternative Finish: 425G Satin Gray •Brushed Nickel Round Knob Hardware
425-BR43	essex-armoire	Armoire	Contemporary elements with Clean Lines and soft shapes. Finished in a dark truffle or satin gray and accented by brushed nickel accents. Choose from a linen chenille padded bench footboard bed or low profile panel bed in a dark truffel or satin gray finish. The bench footboard features bow shaping with open storage. 	Dark Truffle Brown	Rubberwood Solids w/ Cherry Veneers	Dark Truffle	44	20	73	•Full Extension Metal Side Drawer Guides (45mm) •French & English Dovetail Construction •Bottom Case Dust Proofing •Premium Felt Lined Top Drawers •Cedar Lined Bottom Drawers •Armoire Features Wrap Around Doors & Sunburst Pattern •Alternative Finish: 425G Satin Gray Finish •Brushed Nickel Round Knob Hardware
425-BR51	essex-mirror	Mirror	The Essex mirror is the perfect way to invite clean lines accompanied by soft shapes into your room. This piece features bolt on mirror support, and beveled glass, giving the mirror an effortlessly framed look.	Dark Truffle Brown	Rubberwood Solids w/ Cherry Veneers	Dark Truffle	50	2	39	•Beveled Glass •Bolt-on Mirror Support
425-BR61	essex-nightstand	3 Drawer Night Stand	Use this contemporary 3 drawer night stand to invite clean lines and soft shapes into your room. The dark truffle finish is accented by brushed nickel accents as well as brushed nickel round knob hardware. Enjoy the convenience of having a built-in charging station on the night stand top, featuring two USB ports and two outlets. Bask in the modern look of the Frieze drawer design which extends over the body of the night stand and is supported by rounded pilasters.	Dark Truffle Brown	Rubberwood Solids w/ Cherry Veneers	Dark Truffle	28	17	30	•Full Extension Metal Side Drawer Guides (45mm) •French & English Dovetail Construction •Bottom Case Dust Proofing •Premium Felt Lined Top Drawers •Cedar Lined Bottom Drawers •Night Stand Features Charging Station w/ 2 Outlets & 2 USB Ports •Alternative Finish: 425G Satin Gray Finish •Brushed Nickel Round Knob Hardware
439-BR-FUB	sun-valley-bed	Full Youth Upholstered Bed	The clean lines of this upholstered bed create the perfect balance for condos, lofts, or second bedrooms. Crafted with melamine and a rubberwood solid frame, this piece features hook on rails, a center support slat system and a headboard with rolled upholstered inserts in a cool brown tweed. The melamine is scratch resistant and is sure to allow this piece to last in any home.	Sandstone Brown	Melamine & Rubberwood Solid Frame	Sandstone	57	79	52	•Hook-On Rail System •Center Supported Slat System •Plywood Side Rail •Bracket Feet •High/Low Rail Locking •Headboard Uph in Brown Tweed •6" Rail Clearance
439-BR31	sun-valley-dresser	6 Drawer Dresser	The clean lines and small scale of this 6-drawer dresser makes this the perfect piece for condos, lofts, or second bedrooms. This solid wood picture frame dresser features melamine tops, fronts, and sides thus providing a surface protection against scratches, wear, and tear. Double bead molding and antique brass hardware give this piece a traditional yet modern feel.	Sandstone Brown	Melamine & Rubberwood Solid Frame	Sandstone	58	16	36	•Dark Antique Brass Bar Pull Hardware •Kenlin Drawer Glides •English Dovetail Construction •Bottom Case Dust Proofing •Laminate Drawer Interior •Picture Framed Cases •Drawer W23 x D12.5 x H7
439-BR61	sun-valley-nightstand	Night Stand	The clean lines and small scale of this 2 drawer night stand create the perfect balance for condos, lofts, or second bedrooms. This solid wood picture framed night stand features melamine tops, fronts, and sides thus providing a surface protection against scratches, wear, and tear. Double bead molding and antique brass bar pull hardware give this piece a traditional yet modern feel.	Sandstone Brown	Melamine & Rubberwood Solid Frame	Sandstone	22	16	23	•Dark Antique Brass Bar Pull Hardware •Kenlin Drawer Glides •English Dovetail Construction •Bottom Case Dust Proofing •Laminate Drawer Interior •Picture Framed Cases •Drawer W13.5 x D12.5 x H4
455W-BR41	abbey-road-chest	5 Drawer Chest	Take a walk through time and find vintage treasures with the Abbey Road collection. Part of our Traditional Living category, the design combines a grand feel of the past with today's luxurious lifestyle. Warm antique finishes and artistic distressing along with rich design details makes a group to be passed to generations. Reminiscent of English antiques, Abbey Road recreates the charming beauty of times past. Finishes meant to mix and match for an eclectic blending of old and new, cottage and traditional.	Porcelain White	Poplar Solids w/ Birch Veneers	Porcelain White w/ Churchill Brown Tops 	40	19	56	•Full Extension Metal Side Drawer Guides (45mm) •French & English Dovetail Construction •Felt Lined Top Drawers •Fully Stained Interior Drawers •Cedar Lined Bottom Drawers •Bottom Case Dust Proofing •Solid Wood Framed Drawer Fronts •Antique Pewter Bail & Knob Custom Hardware
505-BR-QPL	avalon-bed	Queen Panel Bed	Have sweet dreams in this contemporary style Avalon panel bed. The dark truffle finish is accented by a sunburst pattern on the headboard. Crafted with poplar and pine solids with cherry veneers, this piece features bead molding, tapered feet, and clean lines add an edgy yet soft look. Never question the reliability of the bed thanks to the bolt-on rails and center supported slat system.	Dark Truffle Brown	Pine & Rubberwood Solids w/ Cheery Veneers	Dark Truffle	64	90	51	•Tapered Feet •Bolt-On Rail System •5.5 Inch Rail Clearance •Requires Box Spring
535-C6501S	lucca-side-chair	Uph Side Chair (RTA)	Old World European styling is found in the Lucca collection. Tuscan Rustic design creates a relaxed elegance with enduring style. 	Brown	Poplar Solids with Rustic Birch Veneers	Cordovan Brown	20	25	42	•Scalloped Crown •Tufted Panels •Nail Head Trim •Uph in Brown Leather Like PU Fabric •Scallop Shaped Stretcher •Nylon Chair Glides •Weight Limit: 300 Pounds •Seat Height: 19-5/8"
535-DR-DPS	lucca-pedestal-dining-table	Double Pedestal Table	Old World European styling is found in the Lucca collection. Tuscan Rustic design creates a relaxed elegance with enduring style.  	Brown	Poplar Solids with Rustic Birch Veneers	Cordovan Brown	42	84	30	•Includes One 18 Inch Leaf •Turned Pedestals •Soft Ogee Edge
585-B650124	low-country-counter-height-chair	Uph Counter Height Chair (RTA)	Vintage can refer to "a classic", add in a relaxed style and you create a classic look with a casual feel. With looks that easily work in today's homes & a style uncompromised with comfort abound, Low Country offers cottage styles you love in a heavily distressed finish that will work from the beach to the mountains to an industrial loft.	White	Poplar Solids w/ Cathedral White Oak Veneers	Sea Oat White w/ Heavy Rub Thru & Distressing	19	24	42	•Upholstered In Taupe Linen •Sloped Wood Framed Back •Square Turned Legs •Weight Limit: 250 Pounds •Seat Height: 24"
585-C900124B	low-country-counter-height-bench	Counter Bench (RTA)	Vintage can refer to "a classic", add in a relaxed style and you create a classic look with a casual feel. With looks that easily work in today's homes & a style uncompromised with comfort abound, Low Country offers cottage styles you love in a heavily distressed finish that will work from the beach to the mountains to an industrial loft.	White	Poplar Solids w/ Cathedral White Oak Veneers	Sea Oat White w/ Heavy Rub Thru & Distressing	42	16	24	•Upholstered In Taupe Linen •Features One Shelf •Square Turned Legs •Weight Limit: 250-300 Pounds
585-DR-GTS	low-country-gathering-table	Gathering Table Set	Vintage can refer to "a classic", add in a relaxed style and you create a classic look with a casual feel. With looks that easily work in today's homes & a style uncompromised with comfort abound, Low Country offers cottage styles you love in a heavily distressed finish that will work from the beach to the mountains to an industrial loft.	White	Poplar Solids w/ Cathedral White Oak Veneers	Sea Oat White w/ Heavy Rub Thru & Distressing	32	86	36	•Includes One 18 Inch Leaf •Easy Glide Table System •Softly Shaped Based w/ Center Trestle
589-BR-QSL	linnea-bed	Queen Sleigh Bed	Invite this casual yet traditional Rustic Traditions sleigh bed into your home. The rustic cherry finish enhances the classic Louis Philippe styling of the bed. Make a statement with the rolled back headboard and a footboard that features a rolled cap rail, creating a nice motion. Crafted with poplar solids and cathedral cherry veneers, the bolt-on rails and center supported slat system ensure that this is a sturdy and reliable bed.	Cherry Red	Poplar Solids & Pin Knotty Cherry Veneers	Rustic Cherry	65	96	57	•Sleigh Headboard Rolls Back •Bolt-On Rail System •Center Supported Slat System •Classic Louis Philippe Styling •Bun Feet
589-BR31	linnea-dresser	8 Drawer Dresser	Achieve a casual traditional look with this 8-drawer dresser. The rustic cherry finish is attained through pin knotty cherry and a well-worn look. Organize your clothing using the 6 large drawers and 2 smaller drawers. The Louis Philippe style dresser features chamfered pilasters and bun feet, adding to the casual feel.	Cherry Red	Poplar Solids & Pin Knotty Cherry Veneers	Rustic Cherry	64	18	41	•French & English Dovetail Construction •Full Extension Metal Side Drawer Glides •Felt Lined Top Drawer •Fully Stained Interior Drawers •Antique Brass Drop Ring and Key Hardware •Chamfered Pilasters •Top Drawers W27.95 x D15.47 x H4.48 •Base Drawers W27.95 x D15.11 x H7.71
62-B250324	lorna-counter-height-swivel-chair	Counter Height Swivel Chair (RTA)	Vintage can refer to "a classic," add in a relaxed style and you create a classic look with a casual feel. Looks that easily work in today's homes style uncompromised with comfort abound.	Sandstone Brown	Rubberwood Solids	Gray and Sandstone	18	20	40	•Inverted V Design •Nylon Chair Glides •Features Swivel •Saddle Shaped Seat •Weight Limit: 250 Pounds •Seat Height: 23-3/4" •Seat Top: 17-7/8" W x 17-3/4" D x 27mm T
652-BR-ARM	farmhouse-reimagined-armoire	Armoire	Accent your bedroom with the perfect cottage design, using this unique and stylish armoire. The all-over antique white finish sets this piece apart from the rest of the collections. Two beautiful wrap around doors open to reveal a multi-functional space, including removable shelves and cedar lined bottom drawers. The wire management cut outs enable this piece to double as a tv console, optimizing space in your room, appealing to all users.	White	Pine Solids with Hickory and Pine Veneers	Antique White with Chestnut Tops	50	21	78	•Full Extension Metal Side Drawer Glides (45mm) •French & English Dovetail Construction •Bottom Case Dust Proofing •Cedar Lined Bottom Drawers •Felt Lined Top Drawers •Removable Interior Shelving •Armoire Offers Beautiful Storage with Wrap Around Doors •Antique Brass Knob Hardware
652-BR-QPS	farmhouse-reimagined-bed	Queen Poster Bed	Fall into this cottage style Farmhouse Reimagined poster bed every night. The antique white finish features heavy wire brush distressing, creating a vintage cottage style. High/low veneer panels, shaped posts with decorative turned finials, and the scalloped cap rail add the perfect cottage charm, making this a bed that can work at your beach house or downtown studio. Bolt on rails and a center supported slat system ensure that this is a sturdy and reliable bed.	White	Pine Solids with Hickory and Pine Veneers	Antique White with Chestnut Tops	65	89	64	•Finish Features Heavy Wire Brush & Distressing •Chamfered Pilasters and Bed Posts •Shaped Posts w/ Turned Finials •Hi-Low Panels •Hook-On Rails •Center Supported Slat System
710-BR17HU	luciana-headboard	Full Panel Headboard	Glam Girls Bedroom features iridescent white Finish.	White	Poplar Solids with MDF 	Iridescent White	60	2	56	•Headboard Can Be Sold Separately •CPSC Compliant •Bolt-on Rail System •Accented with Crystal Buttons •Tufted White Vinyl
710-BR17S	luciana-bed-slats	Full Slat Roll (10 Slats)	Glam Girls Bedroom features iridescent white Finish.	White	Poplar Solids with MDF 	Iridescent White	76	1	55	•Slat Roll Mattress Supports •Bolt-on Rail System •Slat Roll Mattress Supports
710-BR18	luciana-footboard	Full Panel Footboard	Glam Girls Bedroom features iridescent white Finish.	White	Poplar Solids with MDF 	Iridescent White	61	5	20	•CPSC Compliant •Bolt-on Rail System
710-BR30	luciana-dresser	6 Drawer Dresser	Glam Girls Bedroom features iridescent white Finish.	White	Poplar Solids with MDF 	Iridescent White	58	18	34	•CPSC Compliant •Bottom Case Dust Proofing •Top Drawers Lined with Black Felt •Crystal Knob Hardware •Anti-Tip Restraints •Step Molding for Added Dimension •Fully Stained Interior Drawers •Bun Feet
710-BR60	luciana-nightstand	2 Drawer Night Stand	Glam Girls Bedroom features iridescent white Finish.	White	Poplar Solids with MDF	Iridescent White	27	17	27	•CPSC Compliant •Bottom Case Dust Proofing •Top Drawers Lined with Black Felt •Crystal Knob Hardware •Anti-Tip Restraints •Step Molding for Added Dimension •Fully Stained Interior Drawers •Drawer W19.75 x D13 x H7.25
710-BR89	luciana-bed-rails	Panel Bed Rails	Glam Girls Bedroom features iridescent white Finish.	White	Poplar Solids with MDF	Iridescent White	76	1	6	•CPSC Compliant •Bolt-on Rail System
710-BRS0	luciana-mirror	Mirror	Glam Girls Bedroom features iridescent white Finish.	White	Poplar Solids with MDF	Iridescent White	39	1	37	•CPSC Compliant •Beveled Glass
737-BR-KPS	larissa-bed	King Poster Bed	Invite this luxurious European style Messina Estates poster bed into your bedroom. The cognac finish is accented by acanthus leaf carvings on the square posts. Scrolled metal accents in the headboard along with heavy bead molding add to the traditional design of the bed. Crafted with poplar solids and wormy cherry veneer, this piece features bolt-on rails and a center supported slat bed ensures that the bed is sturdy and reliable.	Red Brown	Rubberwood Solids w/ Birch Veneers	Cognac	69	96	67	•Bolt-On Rail System •Center Support Slat System •Scrolled Metal Accents •Acanthus Leaf Carvings Accent Posts
737-BR31	larissa-dresser	7 Drawer Dresser	Enhance your room with this luxurious Messina Estates 7-drawer dresser. The cognac finish is highlighted by the acanthus leaf onlays and antique brass hardware. The impressive scale of this piece gives you 4 large fully stained drawers and 3 small-to-medium felt lined drawers, allowing you to organize all your belongings. The rich details throughout the dresser are sure to make this piece the focal point of your room.	Red Brown	Rubberwood Solids w/ Birch Veneers	Cognac	68	19	38	•English Dovetail Construction •Full Extension Metal Side Drawer Glides •Fully Stained Interior Drawers •Bottom Case Dust Proofing •Felt Lined Top Drawers •Acanthus Leaf Onlays •Framed Drawer Fronts •Antique Brass Bail Hardware
737-BR61	larissa-nightstand	3 Drawer Night Stand	Enhance any room with this luxurious Messina Estates 3 drawer night stand while obtaining an elegant European style. Crafted with rubber wood solids and birch veneers, this piece features fully stained interior drawers, felt lined top drawers and beautifully detailed acanthus leaf overlays. The unique cognac finish paired with the rich detail throughout this piece is sure to make a statement in any bedroom.	Red Brown	Rubberwood Solids w/ Birch Veneers	Cognac	30	17	30	•English Dovetail Construction •Full Extension Metal Side Drawer Glides •Fully Stained Interior Drawers •Bottom Case Dust Proofing •Felt Lined Top Drawers •Acanthus Leaf Onlays •Framed Drawer Fronts •Antique Brass Bail Hardware
759-BR17B	laina-headboard	Full Bookcase Headboard	Urban living is defined as surrounding oneself in a modern environment, refurbished building or studio/loft. A natural feeling created by the living space as well as the furnishings that attribute to it.	Gray	Rubberwood Solids and Mango Veneers	Rock Beaten Gray with Saw Cuts	59	10	52	•Headboard Features Storage
759-BR18	laina-footboard	Full Panel Footboard	Urban living is defined as surrounding oneself in a modern environment, refurbished building or studio/loft. A natural feeling created by the living space as well as the furnishings that attribute to it.	Gray	Rubberwood Solids and Mango Veneers	Rock Beaten Gray with Saw Cuts	59	3	20	•Upholstered in Knubby Linen •Square Turned Legs and Bases •Heavy Distressing
759-BR31	laina-dresser	8 Drawer Dresser	Indulge in a casual, yet contemporary look with this Thornwood Hills 8-drawer dresser. The rock beaten gray finish is accented by saw cut distressing, hammered metal strips across the top and bottom drawers, and hand hammered dark pewter hardware. Organize your clothing with the 8 full extension drawers, where the bottom drawers are equipped with dust proofing to protect your belongings.	Gray	Rubberwood Solids and Mango Veneers	Rock Beaten Gray with Saw Cuts	64	18	40	•French & English Dovetail Construction •Full Extension Metal Side Drawer Glides •Fully Stained Interior Drawers •Felt Lined Top Drawers •Hammered Metal Strip Accents •Dark Antique Pewter Hand Hammered Meta Bar Pull Hardware •Top & 2nd Drawer W26 x D15 x H4.5 •3rd & Bottom Drawer W26 x D15 x H6
759-BR51	laina-mirror	Mirror	Urban living is defined as surrounding oneself in a modern environment, refurbished building or studio/loft. A natural feeling created by the living space as well as the furnishings that attribute to it.	Gray	Rubberwood Solids and Mango Veneers	Rock Beaten Gray with Saw Cuts	34	2	36	•Upholstered in Knubby Linen •Square Turned Legs and Bases •Heavy Distressing
759-BR60	laina-nightstand	2 Drawer Night Stand	Urban living is defined as surrounding oneself in a modern environment, refurbished building or studio/loft. A natural feeling created by the living space as well as the furnishings that attribute to it.	Gray	Rubberwood Solids and Mango Veneers	Rock Beaten Gray with Saw Cuts	24	17	28	•Upholstered in Knubby Linen •Square Turned Legs and Bases •Heavy Distressing
759-BR89	laina-bed-rails	Panel Bed Rails	Urban living is defined as surrounding oneself in a modern environment, refurbished building or studio/loft. A natural feeling created by the living space as well as the furnishings that attribute to it.	Gray	Rubberwood Solids and Mango Veneers	Rock Beaten Gray with Saw Cuts	76	2	8	•Upholstered in Knubby Linen •Square Turned Legs and Bases •Heavy Distressing •8in Rail Height
