"Handle","Command","Title","Body HTML","Vendor","Type","Tags","Published","Published Scope","Image Src","Variant SKU","Variant Price","Variant Inventory Tracker","Option1 Name","Option1 Value"
"granada-bedroom-set","UPDATE","Granada Bedroom Set","Modern high-end bedroom composition in white high gloss finish will add your house beautiful and clean look. Bed available in King and Queen Size with Storage or without. Chest and Double Dresser Available. All drawers are equipped with self closing mechanisms. *2 Lights and 1 switch on the headboard  Finishes: WHITE HIGH GLOSS / ARENA HIGH GLOSS /  FABRIC ELFOS BLANCO Made in Spain  Recommended mattress height is no more than 12 "  <iframe width="560" height="315" src="https://www.youtube.com/embed/6Yx4ykzx4Xg" frameborder="0" allowfullscreen></iframe>  <iframe width="560" height="315" src="https://www.youtube.com/embed/ZTZimP5on1g" frameborder="0" allowfullscreen></iframe>  <iframe width="560" height="315" src="https://www.youtube.com/embed/iUX-CtzJ760" frameborder="0" allowfullscreen></iframe>","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada-Bedroom.gif","p6832-i11288+i11287+i11286+i10909+i10910+i10911","6599.99","shopify","Size","King"
"granada-bedroom-set","UPDATE","Granada Bedroom Set","Modern high-end bedroom composition in white high gloss finish will add your house beautiful and clean look. Bed available in King and Queen Size with Storage or without. Chest and Double Dresser Available. All drawers are equipped with self closing mechanisms. *2 Lights and 1 switch on the headboard  Finishes: WHITE HIGH GLOSS / ARENA HIGH GLOSS /  FABRIC ELFOS BLANCO Made in Spain  Recommended mattress height is no more than 12 "  <iframe width="560" height="315" src="https://www.youtube.com/embed/6Yx4ykzx4Xg" frameborder="0" allowfullscreen></iframe>  <iframe width="560" height="315" src="https://www.youtube.com/embed/ZTZimP5on1g" frameborder="0" allowfullscreen></iframe>  <iframe width="560" height="315" src="https://www.youtube.com/embed/iUX-CtzJ760" frameborder="0" allowfullscreen></iframe>","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Granada-Bedroom.gif","p6832-i11292+i11291+i11290+i10909+i10910+i10911","6199.99","shopify","Size","Queen"
"mangano-bedroom-set","UPDATE","Mangano Bedroom Set","This Set Collection has a modern feel and look. The finish is a high gloss white and grey tone. The Collection brings the modern crisp look and feel with simple chrome finish pulls and legs. The collection gives the room a rich; clean look and an open airy feel. The Bedroom Furniture Set with Sleigh Bed consists of Queen Size Bed; Nightstand; Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard; then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.   Made in Italy Box Spring or mattress over 12 inches is required  Dresser and Nightstands base color: White","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Mangano.gif","p7212-i11688+i11554+i11555+i11556+i11557","3399.99","shopify","Size","King"
"mangano-bedroom-set","UPDATE","Mangano Bedroom Set","This Set Collection has a modern feel and look. The finish is a high gloss white and grey tone. The Collection brings the modern crisp look and feel with simple chrome finish pulls and legs. The collection gives the room a rich; clean look and an open airy feel. The Bedroom Furniture Set with Sleigh Bed consists of Queen Size Bed; Nightstand; Dresser and Mirror. The Bed is available in Queen and King Sizes. The 5-Drawer Chest is an optional items.Straight panels are in chipboard; then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Manufactured according to European and international standards.   Made in Italy Box Spring or mattress over 12 inches is required  Dresser and Nightstands base color: White","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Mangano.gif","p7212-i11687+i11553+i11555+i11556+i11557","3099.99","shopify","Size","Queen"
"platinum-legno-bedroom-set","UPDATE","Platinum Legno Bedroom Set","PLATINUM bedroom furniture set in New Silver Birch finish. Modern lines combined with Art Deco’ details. Beveled mirror and wave shaped handles give a typical Made in Italy look to this bedroom. Wood diamond shaped headboard with LED light insert. Optional storage kit with lift mechanism.  **NEW MIRROR DESIGN LIKE ON THE MAIN PICTURE  Finish : High gloss lacquered finish :  High gloss polyester lacquer with anti- yellowing treatment with UV (ultra violet) drying process.  ","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Platinum-Legno-Bedroom.gif","p7784-i17663+i17476+i16670+i14492+i17477","4799.99","shopify","Size","King"
"platinum-legno-bedroom-set","UPDATE","Platinum Legno Bedroom Set","PLATINUM bedroom furniture set in New Silver Birch finish. Modern lines combined with Art Deco’ details. Beveled mirror and wave shaped handles give a typical Made in Italy look to this bedroom. Wood diamond shaped headboard with LED light insert. Optional storage kit with lift mechanism.  **NEW MIRROR DESIGN LIKE ON THE MAIN PICTURE  Finish : High gloss lacquered finish :  High gloss polyester lacquer with anti- yellowing treatment with UV (ultra violet) drying process.  ","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Platinum-Legno-Bedroom.gif","p7784-i17664+i14496+i16670+i14492+i17477","4299.99","shopify","Size","Queen"
"emporio-bedroom-set","UPDATE","Emporio Bedroom Set","Glamorous high end finish will give your bedroom impressive look. Optional storage available. In the standard set you are offered is a Queen Size storage bed; two nightstands; dresser and a mirror.   <b>Headboard material</b> Victoria Warp white 78% PVC; 20 % PES and 2% PU. Rubtest 25000 cycles and not FR.   Nightstand;Dresser;Chest Finish: White 120 MATT carcas / Fronts 220 High Gloss/ Handle SERIK II  Mirror: 220 High Gloss White  Contemporary furniture is a nice way to add fresh look to your home .","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Emporio-Bedroom.jpg","p9879-i22286+i22276+i22277+i22278+i22279","7599.99","shopify","Size","King"
"emporio-bedroom-set","UPDATE","Emporio Bedroom Set","Glamorous high end finish will give your bedroom impressive look. Optional storage available. In the standard set you are offered is a Queen Size storage bed; two nightstands; dresser and a mirror.   <b>Headboard material</b> Victoria Warp white 78% PVC; 20 % PES and 2% PU. Rubtest 25000 cycles and not FR.   Nightstand;Dresser;Chest Finish: White 120 MATT carcas / Fronts 220 High Gloss/ Handle SERIK II  Mirror: 220 High Gloss White  Contemporary furniture is a nice way to add fresh look to your home .","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Emporio-Bedroom.jpg","p9879-i22275+i22277+i22278+i22279","7099.99","shopify","Size","Queen"
"treviso-bedroom-set","UPDATE","Treviso Bedroom Set","The new ﬁnishing Treviso reveals the unique beauty and versatility of the eco-stone surface; a resistant and durable technical material. Warm color; Mediterranean and ﬁne wrinkled texture combined with high gloss white color and chromed handles.  *Soft Closing Drawers *Color: White - Grey Stone","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Traviso-Bedroom.gif","p10169-i23771+i23773+i23774","2899.99","shopify","Size","King"
"treviso-bedroom-set","UPDATE","Treviso Bedroom Set","The new ﬁnishing Treviso reveals the unique beauty and versatility of the eco-stone surface; a resistant and durable technical material. Warm color; Mediterranean and ﬁne wrinkled texture combined with high gloss white color and chromed handles.  *Soft Closing Drawers *Color: White - Grey Stone","ESF","bedroom sets","ESF2020","FALSE","web","http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Traviso-Bedroom.gif","p10169-i23770+i23773+i23774","2799.99","shopify","Size","Queen"
