Handle,Body HTML,Details,Dimensions
emporio-nightstand,"Glamorous high end finish will give your bedroom impressive look. Optional storage available. In the standard set you are offered is a Queen Size storage bed, two nightstands, dresser and a mirror. ","Color: white, grey, silver, light beige. 
Material: wood veneer, stainless steel, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 23.62"" W x 15.75"" D x 25.2"" H."
carmen-dresser,"Glamorous high end finish will give your bedroom impressive look. Optional storage available. In the standard set you are offered is a Queen Size storage bed, two nightstands, dresser and a mirror. ","Color: white, grey, silver, light beige. 
Material: wood veneer, stainless steel, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 47.24"" W x 15.75"" D x 40.94"" H."
carmen-dresser,"Glamorous high end finish will give your bedroom impressive look. Optional storage available. In the standard set you are offered is a Queen Size storage bed, two nightstands, dresser and a mirror. ",,"Option: 62.99"" W x 15.75"" D x 35.43"" H."
carmen-mirror,"Glamorous high end finish will give your bedroom impressive look. Optional storage available. In the standard set you are offered is a Queen Size storage bed, two nightstands, dresser and a mirror. ","Color: white, grey, silver, light beige. 
Material: wood veneer, stainless steel, MDF. 
Finish: high gloss lacquer.","Dimensions (in): 39.37"" W x 3.94"" D x 39.37"" H."
carmen-mirror,"Glamorous high end finish will give your bedroom impressive look. Optional storage available. In the standard set you are offered is a Queen Size storage bed, two nightstands, dresser and a mirror. ",,"Option: 62.99"" W x 3.94"" D x 39.37"" H."
treviso-wardrobe,"The new ﬁnishing Treviso reveals the unique beauty and versatility of the eco-stone surface, a resistant and durable technical material. Warm color, Mediterranean and ﬁne wrinkled texture combined with high gloss white color and chromed handles.","Color: white, grey, silver. 
Material: wood-based panel. 
Finish: mat, shiny.",
treviso-wardrobe,"The new ﬁnishing Treviso reveals the unique beauty and versatility of the eco-stone surface, a resistant and durable technical material. Warm color, Mediterranean and ﬁne wrinkled texture combined with high gloss white color and chromed handles.",,
treviso-wardrobe,"The new ﬁnishing Treviso reveals the unique beauty and versatility of the eco-stone surface, a resistant and durable technical material. Warm color, Mediterranean and ﬁne wrinkled texture combined with high gloss white color and chromed handles.",,
treviso-wardrobe,"The new ﬁnishing Treviso reveals the unique beauty and versatility of the eco-stone surface, a resistant and durable technical material. Warm color, Mediterranean and ﬁne wrinkled texture combined with high gloss white color and chromed handles.",,
treviso-wardrobe,"The new ﬁnishing Treviso reveals the unique beauty and versatility of the eco-stone surface, a resistant and durable technical material. Warm color, Mediterranean and ﬁne wrinkled texture combined with high gloss white color and chromed handles.",,
