"ID","Handle","Command","Title","Body HTML","Vendor","Type","Tags","Tags Command","Created At","Updated At","Published","Published At","Published Scope","Template Suffix","URL","Row #","Top Row","Variant Inventory Item ID","Variant ID","Variant Command","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Position","Variant SKU","Variant Barcode","Variant Image","Variant Weight","Variant Weight Unit","Variant Price","Variant Compare At Price","Variant Cost","Variant Taxable","Variant Tax Code","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Requires Shipping","Variant Inventory Qty","Variant Inventory Adjust"
"5827019271","wilton-loveseat","UPDATE","Wilton Loveseat","<p>The Wilton leather match living room collection is all about simplicity and class. The beautiful upholstery has a luxurious look without compromising on comfort. </p>
<p><strong>DIMENSIONS</strong></p>
<p>66"" W x 41"" D x 39"" H</p>","Mstar","loveseats","Black_Friday_Plus_2018, BlackFriday_Plus, clearance, color-black, columbus, CURRENT_SALE, Exclusive_Neha_10, Jan_14_2019, material-leather-match, style-contemporary, TAX2019, under-1000, under-1500, under-2000, width-65-75","REPLACE","2016-03-29T13:41:19-04:00","2020-02-12T05:28:33-05:00","true","2016-03-29T13:41:00-04:00","global","","https://www.jenniferfurniture.com/products/wilton-loveseat","1","true","16721836408922","16460952174682","MERGE","Title","Default Title","","","","","1","M136465-LS","","","1.0","g","999.99","1099.99","","true","","shopify","deny","manual","true","1","0"
"5827030535","dawson-reclining-chair","UPDATE","Dawson Lion Power Reclining Chair","<p><strong>✪ PRE-ORDER<span> </span>RECLINER<span> </span>IN<span> BROWN </span>NOW!  ETA March '20 ✪   </strong><br></p>
<p>*All other options<span> </span>can be shipped<span> </span>sooner based on availability.  If you have any questions, please contact us.</p>
<p> </p>
<p><span>Whether you prefer fashion black or chocolate brown, Dawson looks spectacular! Luxurious texture, 100% leather seating &amp; simple power controls; this collection speaks volumes.</span></p>
<p> </p>
<p><span></span><strong></strong><strong>DIMENSIONS</strong></p>
<p>42"" W x 41"" D x 40"" H</p>
<p> </p>","Mstar","recliners-sale","Barbra08-19, BF2019, Black_Friday_2018, BlackFriday_Plus, clearance, color-black, color-brown, columbus, Columbus_2017_1, CURRENT_SALE, Election, ElectionDay_2018, feature-power, FF-7/11/16, HOLIDAY, Holiday_1, Jan_14_2019, july4th, July_2017, LABOR_DAY, material-leather-match, Memorial2019, Memorial_2018, Memorial_day_2017, motion, No_Discount, power-recliners, President_day, sale-presidents day-2020, style-casual, style-contemporary, SUMMER-7/20/16, Summer_2017, TAX, TAX2019, under-1000, width-35-45","REPLACE","2016-03-29T13:41:43-04:00","2020-02-12T05:28:34-05:00","true","2016-04-21T13:16:00-04:00","global","","https://www.jenniferfurniture.com/products/dawson-reclining-chair","2","true","24055120391","34595434695","MERGE","Color","Black","","","","","1","M13729P","","","1.0","g","599.99","799.99","","true","","","deny","manual","true","",""
"5827030535","dawson-reclining-chair","UPDATE","Dawson Lion Power Reclining Chair","","Mstar","recliners-sale","Barbra08-19, BF2019, Black_Friday_2018, BlackFriday_Plus, clearance, color-black, color-brown, columbus, Columbus_2017_1, CURRENT_SALE, Election, ElectionDay_2018, feature-power, FF-7/11/16, HOLIDAY, Holiday_1, Jan_14_2019, july4th, July_2017, LABOR_DAY, material-leather-match, Memorial2019, Memorial_2018, Memorial_day_2017, motion, No_Discount, power-recliners, President_day, sale-presidents day-2020, style-casual, style-contemporary, SUMMER-7/20/16, Summer_2017, TAX, TAX2019, under-1000, width-35-45","REPLACE","2016-03-29T13:41:43-04:00","2020-02-12T05:28:34-05:00","true","2016-04-21T13:16:00-04:00","global","","https://www.jenniferfurniture.com/products/dawson-reclining-chair","3","","24055120455","34595434759","MERGE","Color","Brown","","","","","2","MNY2225-9P","","https://cdn.shopify.com/s/files/1/1101/6302/products/MNY225-B.jpg?v=1576526394","1.0","g","599.99","799.99","","true","","","deny","manual","true","",""
"9127328711","alden-power-recliner","UPDATE","Alden Power Recliner","<p><span>Relax in style with the Alden Power Collection.  Featuring supple gray leather seating, contrast accent stitching, and contemporary style that makes this collection look as good as it feels.</span></p>
<p> </p>
<p><strong>DIMENSIONS</strong></p>
<p><span>39"" W x 40"" D x 41"" H</span></p>","Mstar","recliners","Barbra08-19, Black_2017, Black_Friday_2018, color-gray, Columbus_2017_1, CURRENT_SALE, Exclusive_Neha_10, feature-console, feature-power, Holiday_1, Jan_14_2019, July_2017, material-leather-match, Memorial_2018, MLK, motion, NY, power-recliners, President_day, style-contemporary, Summer_2017, TAX, under-1000, width-35-45","REPLACE","2016-09-23T19:44:01-04:00","2020-02-12T05:48:38-05:00","true","2016-09-28T18:47:00-04:00","global","","https://www.jenniferfurniture.com/products/alden-power-recliner","4","true","16721916690522","16461022429274","MERGE","Title","Default Title","","","","","1","M1672-9P","","","1.0","g","599.99","799.99","","true","","","deny","manual","true","",""
"9127321031","alden-power-reclining-loveseat-with-console","UPDATE","Alden Power Reclining Loveseat with Console","<p><span>Relax in style with the Alden Power Collection.  Featuring supple gray leather seating, contrast accent stitching, and contemporary style that makes this collection look as good as it feels. </span> Includes console storage and cup holders.</p>
<p> </p>
<p><strong>DIMENSIONS</strong></p>
<p><span>81"" W x 40"" D x 40"" H</span></p>","Mstar","loveseats","Barbra08-19, Black_2017, Black_Friday_2018, color-gray, Columbus_2017_1, Exclusive_Neha_10, feature-console, feature-power, Holiday_1, Jan_14_2019, July_2017, material-leather-match, Memorial_2018, MLK, motion, NY, President_day, style-contemporary, Summer_2017, TAX, under-1000, width-75-85","REPLACE","2016-09-23T19:43:06-04:00","2020-02-12T05:48:38-05:00","true","2016-12-28T09:02:00-05:00","global","","https://www.jenniferfurniture.com/products/alden-power-reclining-loveseat-with-console","5","true","16721916624986","16461022363738","MERGE","Title","Default Title","","","","","1","M1672-5P","","","1.0","g","999.99","1199.99","","true","","","deny","manual","true","",""
"11602535123","terrence-power-sofa-and-loveseat","UPDATE","Terrence Power Reclining Sofa","<p>The Terrence  Power Reclining Sofa is truly a beauty.</p>
<p><strong>In Home Delivery</strong></p>
<p><strong>DIMENSIONS</strong></p>
<p>Sofa -86"" W x 38"" D x 49"" H</p>
<p> </p>","Mstar","sofas","Black_2017, Columbus_2017_1, Columbus_2018, console, Exclusive_Neha_10, export-1, feature-power, Holiday_1, Jan_14_2019, July_2017, material-leather-match, motion, over-2000, President_day, sleeper-queen, style-contemporary, SUMMER_CL_2018, under-2000, width-85-95","REPLACE","2017-07-08T14:11:14-04:00","2020-02-11T18:02:08-05:00","true","2017-09-17T10:23:06-04:00","global","","https://www.jenniferfurniture.com/products/terrence-power-sofa-and-loveseat","6","true","34904674195","46139929683","MERGE","Sleeper","No Sleeper","Configuration","Sofa","","","1","MNY21562P","","","4.0","g","999.99","2599.99","","true","","","deny","manual","true","",""
"11602383507","terrence-power-loveseat","UPDATE","Terrence Power Loveseat","<p>The Terrence Power Loveseat and is truly a beauty.</p>
<p><strong>DIMENSIONS</strong></p>
<p>Loveseat  -76"" W x 38"" D x 49"" H</p>","Mstar","loveseats","Black_2017, Columbus_2017_1, Columbus_2018, console, Exclusive_Neha_10, export-1, feature-power, Holiday_1, Jan_14_2019, July_2017, material-leather-match, motion, President_day, style-contemporary, SUMMER_CL_2018, under-1000, under-1500, under-2000, width-85-95","REPLACE","2017-07-08T13:44:33-04:00","2020-02-11T18:02:08-05:00","true","2016-09-28T10:19:00-04:00","global","","https://www.jenniferfurniture.com/products/terrence-power-loveseat","7","true","16722061590618","16461145931866","MERGE","Title","Default Title","","","","","1","MNY21562P","","","1.0","g","999.99","1299.99","","true","","","deny","manual","true","",""
"1479092011098","mazda-sofa","UPDATE","Mazda Sofa","<p>The Mazda Collection in gray leather is all about simplicity, comfort and affordability. Sink into the plush seats. The Mazda will bring a warm timeless style into your living room.</p>
<p> </p>
<p><strong>In Home Delivery</strong></p>
<p><strong>KD Feature:</strong><span> </span>This model is able to be partially assembled in home for easier access into the room you want!  If you have any questions on this, just ask us!</p>
<p> </p>
<p> </p>
<p> <strong>DIMENSIONS</strong></p>
<p>Sofa - 77""W  x 35""D  x 38""H </p>","Mstar","sofas","BF2019, Black_Friday_2018, clearance, color-gray, featured, Jan_14_2019, july2019, material-leather-match, Memorial2019, style-casual, style-contemporary, under-1000, under-1500, under-2000","REPLACE","2018-09-27T08:26:17-04:00","2020-02-11T17:48:24-05:00","true","2020-01-21T13:01:32-05:00","global","","https://www.jenniferfurniture.com/products/mazda-sofa","8","true","33444761403482","31792536256602","MERGE","Title","Default Title","","","","","1","D115-15","","","4.0","g","1299.99","","","true","","shopify","deny","manual","true","5","0"
"1619455115354","ford-power-sofa","UPDATE","Ford Power Sofa","<p>Gray upholstery with visible stitches, this contemporary Ford Power Reclining Collection is truly a beauty. </p>
<p>With Power Headrest</p>
<p><strong>DIMENSIONS</strong></p>
<p>Sofa- 90"" W x 38"" D x 39.5"" H</p>
<p> KD Feature: This model is able to be partially assembled in home for easier access into the room you want! If you have any questions on this, just ask us!</p>
<p> </p>","Mstar","sofas-sale","color-gray, Exclusive_Neha_10, feature-adjustable headrests, feature-power, Jan_14_2019, material-fabric, Memorial2019, motion, over-2000, power, sale-presidents day-2020, style-contemporary, Summer_2017, TAX, under-2000","REPLACE","2019-01-10T22:49:07-05:00","2020-02-11T12:03:04-05:00","true","2016-11-14T07:38:00-05:00","global","","https://www.jenniferfurniture.com/products/ford-power-sofa","9","true","16722245288026","16461308821594","MERGE","Title","Default Title","","","","","1","MNY2733-6P-Gray","","","3.0","g","999.99","1599.99","","true","","","deny","manual","true","",""
"1625843957850","gillroy-sofa","UPDATE","Gilroy Sofa","<p><span>The Gillroy Living Room Collection offers classic style with a modern twist. Warm brown leather-look fabric &amp; nail head accents make Gillroy the perfect choice for your home! </span></p>
<p><strong>DIMENSIONS</strong></p>
<p><span>90""W x 38""D x 39""H</span></p>
<meta charset=""utf-8"">
<p><strong>*KD Feature:</strong><span> This model is able to be partially assembled in home for easier access into the room you want!  If you have any questions on this, just ask us!</span></p>","USGLO","sofas","Barbra07-19, color-brown, Exclusive_Neha_10, july2019, material-microfiber, NJ_Warehouse, President_Sale_2019, style-classic, under-1000, width-85-95","REPLACE","2019-01-21T13:23:59-05:00","2020-02-11T12:03:08-05:00","true","2019-01-20T23:56:47-05:00","global","","https://www.jenniferfurniture.com/products/gillroy-sofa","10","true","16153885638746","15969225310298","MERGE","Configuration","Sofa","","","","","1","C30-15","","","1.0","g","699.99","799.99","","true","","","deny","manual","true","",""
